##price >5, revenue > 2B, avg vol > 1M
FNMA
DEO
CLX
KNX
VLTO
MRNA
WTRG
EXAS
CTAS
WBS
NTAP
NVDA
TRV
NOV
BLMN
CUK
PCAR
SNV
APH
HRB
SRE
HBAN
CCL
ALL
Z
CRM
ASB
PNC
HST
HPQ
CPB
FITB
AFL
CSX
PTON
ZTS
SARO
OSCR
SEE
BEPC
SCI
XOM
BGC
ADM
CI
STLD
ZION
AXTA
OWL
PEG
NUE
DK
BRKR
GEN
CVE
DOC
AOS
FLS
ADSK
FAST
ARE
APO
GDDY
BNS
BHC
NYT
EDU
HUN
LOW
NCLH
EVH
BCE
TROW
CVNA
DHR
SHW
MTB
XRX
TRP
ACGL
USB
NOW
MRK
VST
THC
QSR
ROST
DXC
BIIB
GPN
IFF
ARMK
MTDR
COO
PYPL
TOST
ADBE
UPS
LVS
DOW
KEY
LBTYK
ADNT
MLI
PR
BWA
TECK
DLR
OI
CCI
FNB
GEO
PNR
COP
VAL
CAT
CSTM
AXL
ORCL
FLO
RF
CNQ
CADE
PRU
FND
GD
MGA
CF
HUM
CARR
COLB
FOUR
DINO
GAP
ALIT
FBIN
TXT
F
FDX
FANG
LBTYA
PK
GNW
VTRS
AVTR
TT
FSLR
CMG
JEF
SNPS
AHCO
CNK
BXP
ZIM
NVO
CWH
AMKR
FCX
INTU
FERG
KIM
VSTS
AKAM
RUN
WEN
GO
BALL
OKE
KKR
CMCSA
PBA
CDNS
SEM
BG
GM
LEG
RNG
XPO
MUR
DELL
HAL
ELAN
ODFL
CWK
TPG
HOLX
GNTX
BX
FIS
VYX
MODG
IR
LMT
KBR
OMC
RHI
AMD
VSCO
NU
DDOG
LHX
AMTM
HOG
NVT
CC
RCI
PHM
ETN
COIN
AES
ON
LYFT
COTY
FL
SWKS
PWR
DECK
COHR
UNH
NOG
KBH
BF.B
AEO
EA
UA
DHI
BLDR
CENX
NE
IRM
FTRE
LDOS
PACS
DNB
SM
WFRD
ALB
HP
UAA
NWL
BAH
PCG
AA
HBI
XYZ
TTEK
STZ
LW
PBF
CCJ
TOL
KSS
RXO
LEN
CE
GES
PLAY
CLMT
PII
FLR
SBH
ILMN
VRT
ANF
FMC
GXO
TROX
OLN
PSN
EIX
TTD
GPRE
BTU
SIG
FLNC
